region_code,region_name,included_isd_name,included_isd_code
8,Greater West Michigan Region,Allegan RESA,03
12,Northeast Michigan Region,AMA ESD,04
1,Southwest Region,Barry ISD,08
10,East Central Michigan Region,Bay Arenac ISD,09
1,Southwest Region,Berrien RESA,11
1,Southwest Region,Branch ISD,12
1,Southwest Region,Calhoun ISD,13
13,Northwestern Lower Michigan Region,Char-Em ISD,15
12,Northeast Michigan Region,COP ESD,16
14,Eastern Upper Peninsula Region,EUP ISD,17
10,East Central Michigan Region,Clarre Gladwin RESD,18
7,Mid-Michigan Region,Clinton RESA,19
15,906-Central Region,Delta Schoolcraft ISD,21
15,906-Central Region,Dickinson Iron ISD,22
7,Mid-Michigan Region,Eaton ISD,23
6,I-69 Region,Genesee ISD,25
16,Western Upper Peninsula Region,Gogebic-Ontonagon ISD,27
13,Northwestern Lower Michigan Region,North Ed,28
10,East Central Michigan Region,Gratiot Isabella RESD,29
2,Southeast Region,Hillsdale ISD,30
16,Western Upper Peninsula Region,Copper Country ISD,31
11,Upper Thumb Region,Huron ISD,32
7,Mid-Michigan Region,Ingham ISD,33
7,Mid-Michigan Region,Ionia ISD,34
12,Northeast Michigan Region,Iosco RESA,35
2,Southeast Region,Jackson ISD,38
1,Southwest Region,Kalamazoo RESA,39
8,Greater West Michigan Region,Kent ISD,41
6,I-69 Region,Lapeer ISD,44
2,Southeast Region,Lenawee ISD,46
2,Southeast Region,Livingston ISD,47
4,Macomb Region,Macomb ISD,50
9,West Central Region,Manistee ISD,51
15,906-Central Region,MARESA,52
9,West Central Region,West Shore ESD,53
9,West Central Region,Mecosta-Osceola ISD,54
15,906-Central Region,Menominee ISD,55
10,East Central Michigan Region,Midland ESD,56
2,Southeast Region,Monroe ISD,58
8,Greater West Michigan Region,Montcalm ISD,59
8,Greater West Michigan Region,Muskegon ISD,61
8,Greater West Michigan Region,Newaygo ISD,62
5,Oakland Region,Oakland ISD,63
8,Greater West Michigan Region,Ottawa ISD,70
12,Northeast Michigan Region,COOR ISD,72
10,East Central Michigan Region,Saginaw ISD,73
6,I-69 Region,St. Clair RESA,74
1,Southwest Region,St. Joseph ISD,75
11,Upper Thumb Region,Sanilac ISD,76
7,Mid-Michigan Region,Shiawassee RESD,78
11,Upper Thumb Region,Tuscola ISD,79
1,Southwest Region,Van Buren ISD,80
2,Southeast Region,Washtenaw ISD,81
3,Wayne Region,Wayne RESA,82
9,West Central Region,Wexford Missaukee ISD,83
1,Southwest Region,Lewis Cass ISD,14
